timestamp,frame,joint_name,x,y,z,angle,velocity,acceleration
0.000,0,hip_left,580.3,450.2,800.1,92.3,0.0,0.0
0.000,0,hip_right,690.1,455.3,798.2,89.7,0.0,0.0
0.000,0,knee_left,585.2,650.4,805.3,165.2,0.0,0.0
0.000,0,knee_right,685.4,652.1,803.8,168.4,0.0,0.0
0.000,0,ankle_left,587.5,850.6,810.2,95.1,0.0,0.0
0.000,0,ankle_right,683.2,848.3,808.7,93.8,0.0,0.0
0.000,0,shoulder_left,575.8,250.5,795.4,178.2,0.0,0.0
0.000,0,shoulder_right,695.3,252.1,793.9,176.5,0.0,0.0
0.000,0,elbow_left,570.2,400.3,790.1,170.3,0.0,0.0
0.000,0,elbow_right,700.5,398.7,791.6,172.1,0.0,0.0
0.033,1,hip_left,579.8,449.8,799.9,90.1,14.8,2.9
0.033,1,hip_right,689.5,454.9,797.8,87.5,13.2,2.4
0.033,1,knee_left,584.8,649.2,804.9,163.8,12.5,1.8
0.033,1,knee_right,684.9,651.4,803.2,167.1,11.8,1.6
0.033,1,ankle_left,587.1,849.8,809.8,94.3,8.9,1.2
0.033,1,ankle_right,682.8,847.6,808.2,93.1,7.8,1.0
0.033,1,shoulder_left,575.4,250.2,795.1,177.8,5.6,0.8
0.033,1,shoulder_right,694.9,251.8,793.5,176.1,5.2,0.7
0.033,1,elbow_left,569.8,400.0,789.7,169.9,4.3,0.6
0.033,1,elbow_right,700.1,398.4,791.2,171.7,4.1,0.5
0.066,2,hip_left,579.2,448.5,799.5,87.9,15.6,3.2
0.066,2,hip_right,688.9,454.2,797.3,85.3,14.1,2.8
0.066,2,knee_left,584.3,648.1,804.4,162.4,13.2,2.1
0.066,2,knee_right,684.3,650.7,802.6,165.8,12.6,1.9
0.066,2,ankle_left,586.7,849.0,809.4,93.5,9.5,1.4
0.066,2,ankle_right,682.4,846.9,807.7,92.4,8.3,1.2
0.066,2,shoulder_left,575.0,249.9,794.8,177.4,6.1,0.9
0.066,2,shoulder_right,694.5,251.5,793.1,175.7,5.7,0.8
